Player,Tm,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Year,Player ID,Cluster,Team Cluster
Robin Lopez,NYK,2219,17.6,0.574,0.002,0.243,13.4,16.2,14.8,8.5,0.4,4.4,15.4,17.7,3.7,2.1,0.126,0.1,1.3,1.4,1.9,2016,Robin LopezNYK2016.0,2,2
Kevin Love,CLE,2424,19,0.553,0.449,0.321,7,28.4,17.8,12.2,1.2,1.4,11.3,23.4,4.7,3.8,0.169,1.7,0.9,2.5,2.8,2016,Kevin LoveCLE2016.0,2,4
Kyle Lowry,TOR,2851,22.2,0.578,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1,13.7,26.1,8,3.7,0.196,6.2,0.6,6.8,6.3,2016,Kyle LowryTOR2016.0,8,4
Trey Lyles,UTA,1382,11.6,0.517,0.294,0.188,5,20.2,12.6,7.1,1,1.1,12.1,17.9,0.6,1.7,0.079,-2.4,-0.4,-2.8,-0.3,2016,Trey LylesUTA2016.0,5,4
Shelvin Mack,ATL,179,15.4,0.464,0.284,0.126,1.2,11.9,6.7,36.9,2.2,0,12.3,28.5,-0.1,0.3,0.045,-1.3,-1.8,-3.1,0,2016,Shelvin MackATL2016.0,9,1
Shelvin Mack,UTA,879,13.2,0.52,0.306,0.153,1.5,12.6,7,29.3,1.6,0.3,19.2,22.2,0.2,0.9,0.064,-0.3,-0.5,-0.8,0.3,2016,Shelvin MackUTA2016.0,9,4
Ian Mahinmi,IND,1816,16.6,0.603,0,0.502,8.3,22.1,15.3,8.9,1.8,3.3,15.5,15.7,2.9,3.3,0.163,-0.9,3.3,2.4,2,2016,Ian MahinmiIND2016.0,2,1
Devyn Marble,ORL,249,5.2,0.368,0.451,0.338,2.6,14.4,8.5,6.6,2.6,0.3,7.9,15.7,-0.4,0.3,-0.026,-4.8,-0.6,-5.5,-0.2,2016,Devyn MarbleORL2016.0,6,1
Boban Marjanovic,SAS,508,27.7,0.662,0,0.655,16.9,26.2,21.7,6.6,1.2,3.5,11.5,22.8,2.3,1.2,0.325,2.7,0.9,3.6,0.7,2016,Boban MarjanovicSAS2016.0,2,2
Kendall Marshall,PHI,400,6.7,0.449,0.415,0.11,0.5,7.3,3.8,28.4,2,0.4,25.8,18.3,-0.7,0.1,-0.064,-5.5,-3.3,-8.8,-0.7,2016,Kendall MarshallPHI2016.0,6,4
Jarell Martin,MEM,380,14,0.534,0.017,0.534,11.2,14.7,12.9,6.4,1.1,1.7,11.7,19.2,0.5,0.2,0.1,-1.6,-1.6,-3.2,-0.1,2016,Jarell MartinMEM2016.0,5,2
Kevin Martin,MIN,834,11.9,0.523,0.308,0.425,1.4,9.8,5.6,8.8,1,0.1,9.4,23.5,0.7,0.1,0.045,-1.2,-4,-5.2,-0.7,2016,Kevin MartinMIN2016.0,1,3
Kevin Martin,SAS,261,10.1,0.504,0.388,0.353,1.8,10.6,6.3,6.4,1.8,0.6,11.7,19.5,0,0.4,0.082,-2.2,-0.2,-2.4,0,2016,Kevin MartinSAS2016.0,1,2
Wesley Matthews,DAL,2644,10.9,0.532,0.615,0.171,1.1,8.8,4.9,8.9,1.5,0.5,7.8,17.2,1.9,1.8,0.067,0.8,-0.3,0.5,1.6,2016,Wesley MatthewsDAL2016.0,1,4
O.J. Mayo,MIL,1090,7.7,0.474,0.505,0.125,1.4,9.6,5.5,15.8,2.2,0.6,17.5,17,-0.7,0.6,-0.005,-2,-1.5,-3.5,-0.4,2016,O.J. MayoMIL2016.0,6,3
Luc Mbah-a-Moute,LAC,1274,7.3,0.498,0.193,0.275,5.2,9.4,7.3,3.3,1.7,1.2,12.8,9.4,0.2,1.3,0.059,-3,1.5,-1.6,0.1,2016,Luc Mbah-a-MouteLAC2016.0,1,4
James Michael McAdoo,GSW,262,15.9,0.554,0.024,0.583,13.1,10.9,11.9,9.2,1.8,2.2,13.2,20.1,0.5,0.3,0.146,-0.9,-0.3,-1.1,0.1,2016,James Michael McAdooGSW2016.0,5,4
Ray McCallum,SAS,256,10.3,0.476,0.239,0.149,2.8,10.8,6.9,17.7,1,1.2,13.3,14.7,0.1,0.4,0.092,-2.4,0.4,-2,0,2016,Ray McCallumSAS2016.0,1,2
Ray McCallum,MEM,219,7.7,0.425,0.329,0.063,1,7.6,4.2,19.5,1.6,1.3,13.8,19.3,-0.3,0.1,-0.033,-3.5,-2.2,-5.7,-0.2,2016,Ray McCallumMEM2016.0,6,2
C.J. McCollum,POR,2780,17.7,0.544,0.33,0.158,1.8,8.3,5,21.6,1.7,0.6,11.4,27.1,4.4,1.7,0.104,2.5,-2,0.4,1.7,2016,C.J. McCollumPOR2016.0,4,4
T.J. McConnell,PHI,1606,14.5,0.511,0.192,0.088,2.8,14.5,8.5,37.2,2.9,0.5,22.5,17,0.6,1.4,0.058,-1.7,-0.4,-2.1,0,2016,T.J. McConnellPHI2016.0,9,4
Chris McCullough,BRK,362,12.2,0.47,0.312,0.211,7.6,13.6,10.5,3.7,3.9,2.7,11.2,16.5,-0.1,0.4,0.043,-2.1,1.1,-1,0.1,2016,Chris McCulloughBRK2016.0,0,2
K.J. McDaniels,HOU,235,10.6,0.522,0.347,0.417,7.5,12.3,9.9,6.5,1.5,2.1,16.6,18.7,0.1,0.1,0.043,-3.1,-1.9,-5,-0.2,2016,K.J. McDanielsHOU2016.0,6,4
Doug McDermott,CHI,1861,10.9,0.561,0.402,0.13,2.1,8.8,5.5,5,0.4,0.2,7.2,17.3,2.1,0.7,0.073,-0.3,-2.8,-3.1,-0.5,2016,Doug McDermottCHI2016.0,1,2
JaVale McGee,DAL,370,19.9,0.574,0.007,0.269,15.8,23.7,19.7,1.5,0.7,5.9,12.3,21.1,0.6,0.5,0.146,-2.9,-0.6,-3.5,-0.1,2016,JaVale McGeeDAL2016.0,3,4
Ben McLemore,SAC,1443,8.6,0.531,0.407,0.226,2.6,8.5,5.6,7.9,1.7,0.6,16.5,17.6,-0.4,0.7,0.01,-2,-1.2,-3.2,-0.4,2016,Ben McLemoreSAC2016.0,1,1
Josh McRoberts,MIA,595,9.9,0.453,0.331,0.27,4.3,15.3,10,19.4,1.6,0.9,15.3,15,0.1,0.7,0.064,-1.9,0.6,-1.4,0.1,2016,Josh McRobertsMIA2016.0,9,2
Salah Mejri,DAL,397,16.8,0.636,0.013,0.59,11.4,22.6,17,3.9,1,7.6,19,14,0.6,0.7,0.156,-2.6,3.7,1.1,0.3,2016,Salah MejriDAL2016.0,3,4
Khris Middleton,MIL,2852,16.8,0.56,0.316,0.273,1.8,10.2,6,18.9,2.3,0.6,12.3,23,4.3,1.8,0.103,2.2,-1.6,0.6,1.9,2016,Khris MiddletonMIL2016.0,4,3
C.J. Miles,IND,1464,14,0.547,0.61,0.196,1.9,11.1,6.5,7,1.8,1.6,9.2,22.8,1.2,1.9,0.103,1,-1.2,-0.2,0.7,2016,C.J. MilesIND2016.0,1,1
Andre Miller,MIN,280,13.7,0.663,0.069,0.328,2.5,7.4,5,31.9,1.6,0,27.4,14.6,0.5,0.1,0.088,-0.8,-3.7,-4.5,-0.2,2016,Andre MillerMIN2016.0,9,3
Andre Miller,SAS,181,12.9,0.521,0.083,0.271,3.9,12.8,8.5,22.6,2,0,18.3,16.6,0.1,0.3,0.118,-1.5,1,-0.5,0.1,2016,Andre MillerSAS2016.0,9,2
Mike Miller,DEN,373,6.5,0.508,0.839,0,1.8,14.2,7.9,14.9,1.7,0.9,21.5,9.3,0.1,0.3,0.04,-2.5,-0.3,-2.7,-0.1,2016,Mike MillerDEN2016.0,1,1
Patty Mills,SAS,1662,14.6,0.541,0.523,0.095,1.9,8.7,5.4,20.1,1.8,0.3,10.7,19.7,2.2,2.6,0.139,2.1,-0.4,1.7,1.6,2016,Patty MillsSAS2016.0,4,2
Elijah Millsap,UTA,173,6.5,0.384,0.308,0.462,4.1,19.5,11.8,16.2,2.1,1.5,16.1,14.9,-0.2,0.3,0.033,-4.6,1.8,-2.8,0,2016,Elijah MillsapUTA2016.0,7,4
Paul Millsap,ATL,2647,21.3,0.556,0.218,0.383,8.4,21.5,15.1,16.4,2.7,4.1,13.3,24.3,4.1,6,0.183,1.1,4.2,5.3,4.9,2016,Paul MillsapATL2016.0,2,1
Nikola Mirotic,CHI,1646,15.6,0.564,0.568,0.297,3.8,19.1,11.6,9.4,1.8,2,12.9,21.1,1.8,2.2,0.115,1.1,0.1,1.2,1.3,2016,Nikola MiroticCHI2016.0,0,2
Greg Monroe,MIL,2314,21.8,0.562,0.001,0.327,10.9,23.4,17.2,13.2,1.6,2.5,10.7,23.5,5,2.4,0.155,1.3,0.2,1.5,2.1,2016,Greg MonroeMIL2016.0,2,3
E'Twaun Moore,CHI,1263,11.4,0.548,0.267,0.09,1.6,9.3,5.5,12.1,1.5,1,11.6,15.9,0.9,1,0.07,-1.1,-0.7,-1.8,0.1,2016,E'Twaun MooreCHI2016.0,1,2
Marcus Morris,DET,2856,12.7,0.531,0.315,0.287,3.3,12.4,7.7,11,1.2,0.6,11.6,18.4,2.9,2.5,0.091,0.2,0.5,0.7,2,2016,Marcus MorrisDET2016.0,0,4
Markieff Morris,PHO,917,10.8,0.456,0.176,0.213,5,18.3,11.5,16.1,1.8,1.5,16,26,-1.3,0.8,-0.029,-3.8,0,-3.8,-0.4,2016,Markieff MorrisPHO2016.0,6,4
Markieff Morris,WAS,712,14,0.538,0.275,0.192,4.6,20.5,12.4,8.2,1.7,1.9,12.6,21.9,0.2,0.9,0.072,-1.8,0.2,-1.5,0.1,2016,Markieff MorrisWAS2016.0,5,1
Anthony Morrow,OKC,926,10.7,0.543,0.613,0.117,1.2,5.8,3.6,3.7,1.2,0.4,4.6,16.9,1.4,0.5,0.097,0.5,-3.2,-2.7,-0.2,2016,Anthony MorrowOKC2016.0,1,2
Donatas Motiejunas,HOU,547,11.3,0.504,0.278,0.259,7.4,14.6,11,12.2,1.5,0.8,16.2,21.4,0,0.3,0.026,-2.5,-1.9,-4.3,-0.3,2016,Donatas MotiejunasHOU2016.0,6,4
Timofey Mozgov,CLE,1326,14.6,0.593,0.019,0.265,9.5,19.2,14.4,3.9,0.9,3.5,15,16.1,1.8,1.9,0.133,-2.2,1,-1.2,0.3,2016,Timofey MozgovCLE2016.0,3,4
Emmanuel Mudiay,DEN,2068,9.9,0.437,0.256,0.231,1.7,10.9,6.2,29,1.6,1.4,17.9,25.7,-3.3,1.2,-0.049,-3.1,-1.2,-4.3,-1.2,2016,Emmanuel MudiayDEN2016.0,6,1
Shabazz Muhammad,MIN,1682,15.2,0.548,0.223,0.355,7,11.4,9.2,5.2,0.7,0.3,8.2,22.8,2.6,0.2,0.077,0,-4.2,-4.2,-0.9,2016,Shabazz MuhammadMIN2016.0,1,3
Xavier Munford,MEM,244,9.9,0.481,0.299,0.182,1.3,13.7,7.2,14.3,2.7,1.1,15.3,18,-0.2,0.2,0.017,-2.9,-0.1,-3.1,-0.1,2016,Xavier MunfordMEM2016.0,9,2
Mike Muscala,ATL,565,13.6,0.576,0.257,0.257,7.5,14.9,11.3,9.1,1.1,3.8,13.8,15.5,0.7,0.9,0.136,-2,1.5,-0.5,0.2,2016,Mike MuscalaATL2016.0,5,1
Larry Nance Jr.,LAL,1266,13.4,0.544,0.033,0.157,8.3,18.6,13.3,5.7,2.1,1.4,11.3,12.6,1.3,0.9,0.083,-2,0.6,-1.4,0.2,2016,Larry Nance Jr.LAL2016.0,5,4
Shabazz Napier,ORL,600,9.6,0.46,0.517,0.224,1.6,8.6,5.1,23.1,1.9,0.1,17.2,19.7,-0.3,0.4,0.004,-2.3,-2.6,-4.9,-0.4,2016,Shabazz NapierORL2016.0,9,1
Gary Neal,WAS,807,13.5,0.558,0.308,0.169,1.5,10.2,5.8,9.2,1.2,0.1,7.7,20.5,0.9,0.5,0.085,-0.5,-2.3,-2.8,-0.2,2016,Gary NealWAS2016.0,1,1
Jameer Nelson,DEN,1036,9.5,0.464,0.469,0.114,2,10.4,6.2,27.3,1.2,0.4,17,16.4,0.1,0.4,0.024,-1.2,-1.9,-3.1,-0.3,2016,Jameer NelsonDEN2016.0,9,1
Raul Neto,UTA,1499,10.2,0.53,0.388,0.167,1.3,8,4.7,18.7,2.2,0.1,19.5,17.2,0.2,1.6,0.058,-1.6,-0.7,-2.3,-0.1,2016,Raul NetoUTA2016.0,9,4
Andrew Nicholson,ORL,823,14.8,0.567,0.368,0.21,4.5,22.8,13.5,4.8,0.6,2.2,10.8,20.4,0.8,0.8,0.092,-1.7,-2,-3.7,-0.4,2016,Andrew NicholsonORL2016.0,5,1
Joakim Noah,CHI,635,14.1,0.406,0.008,0.338,14.7,27.3,21.1,24.2,1.4,3.3,25.4,14.2,0,1.1,0.079,-2.3,4.3,1.9,0.6,2016,Joakim NoahCHI2016.0,3,2
Nerlens Noel,PHI,1965,16.2,0.544,0.003,0.387,8.2,22.2,15,10.5,2.9,3.9,18.7,18.8,0.3,2.8,0.074,-2.7,3.4,0.7,1.3,2016,Nerlens NoelPHI2016.0,3,4
Lucas Nogueira,TOR,225,15.6,0.642,0.068,0.341,9.3,14,11.7,4.9,2.8,4.4,17.9,12.4,0.3,0.4,0.154,-0.4,2.9,2.6,0.3,2016,Lucas NogueiraTOR2016.0,3,4
Dirk Nowitzki,DAL,2364,19,0.555,0.308,0.252,2.4,20.3,11.4,10.1,1.1,1.8,6.4,25.5,4.2,2.6,0.138,1.2,-0.3,0.9,1.7,2016,Dirk NowitzkiDAL2016.0,4,4
Jusuf Nurkic,DEN,547,15.9,0.46,0.012,0.409,12.9,22.7,17.7,12.3,2.2,6.5,16.1,27.2,-0.5,0.9,0.031,-4.1,2.8,-1.3,0.1,2016,Jusuf NurkicDEN2016.0,3,1
Johnny O'Bryant,MIL,857,7.4,0.441,0.005,0.191,8.7,14.7,11.7,5.4,1.1,0.8,12,13.5,-0.2,0.4,0.014,-4.3,-1.7,-6,-0.9,2016,Johnny O'BryantMIL2016.0,6,3
Kyle O'Quinn,NYK,764,17.5,0.52,0.081,0.221,11,24.5,17.9,15.9,1.3,4.9,17,21.2,0.5,1.2,0.103,-1.8,2.5,0.7,0.5,2016,Kyle O'QuinnNYK2016.0,3,2
Jahlil Okafor,PHI,1591,17.1,0.536,0.008,0.248,8.1,17.8,12.8,8.2,0.7,2.9,12.5,27.3,0.3,0.9,0.037,-2.6,-1.5,-4.1,-0.8,2016,Jahlil OkaforPHI2016.0,5,4
Victor Oladipo,ORL,2379,16.7,0.534,0.291,0.255,2.2,14,8,18.6,2.4,1.9,12.4,22.9,2.2,2.7,0.099,1,0.8,1.8,2.3,2016,Victor OladipoORL2016.0,0,1
Kelly Olynyk,BOS,1395,16.3,0.561,0.378,0.23,5.4,16.2,10.7,11.9,1.8,1.8,10.8,20.9,2.1,2,0.141,0.8,0.4,1.2,1.1,2016,Kelly OlynykBOS2016.0,0,1
Kelly Oubre,WAS,671,8.2,0.507,0.374,0.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,-0.3,0.7,0.031,-4.3,-1.6,-5.8,-0.7,2016,Kelly OubreWAS2016.0,6,1
Zaza Pachulia,DAL,2004,16.2,0.55,0.006,0.587,13.7,25.7,19.7,9.7,1.6,0.9,16.8,16.2,3.4,2.7,0.145,-0.8,2.2,1.4,1.7,2016,Zaza PachuliaDAL2016.0,2,4
Kostas Papanikolaou,DEN,294,6,0.464,0.485,0.212,3,12.3,7.5,7.8,2.2,1.4,22.5,13.9,-0.4,0.2,-0.022,-4.5,0.1,-4.3,-0.2,2016,Kostas PapanikolaouDEN2016.0,6,1
Jabari Parker,MIL,2408,14.8,0.535,0.039,0.254,5.9,12.8,9.4,8.9,1.5,1,10.4,20.9,2.4,1.2,0.072,-0.9,-1.5,-2.4,-0.2,2016,Jabari ParkerMIL2016.0,5,3
Tony Parker,SAS,1980,16.2,0.546,0.092,0.241,1,8.8,5.1,29.1,1.4,0.4,14.3,21.2,2.9,2.9,0.142,0.4,-0.3,0.1,1,2016,Tony ParkerSAS2016.0,4,2
Chandler Parsons,DAL,1799,16.2,0.589,0.386,0.209,1.8,15.6,8.7,16,1.3,1,11.8,20.5,2.6,1.6,0.114,1.6,0.3,1.9,1.8,2016,Chandler ParsonsDAL2016.0,0,4
Lamar Patterson,ATL,395,5.1,0.468,0.613,0.275,1.1,12.4,6.9,13.6,1.1,0.4,20.4,12.8,-0.3,0.5,0.025,-4.6,-0.3,-4.9,-0.3,2016,Lamar PattersonATL2016.0,6,1
Patrick Patterson,TOR,2020,10.6,0.534,0.594,0.069,4.4,14.8,9.7,7.1,1.4,1.3,11.3,12.9,1.6,2,0.086,0.4,0.6,1,1.5,2016,Patrick PattersonTOR2016.0,0,4
Chris Paul,LAC,2420,26.2,0.575,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,9.2,3.5,0.253,7.3,0.5,7.8,6,2016,Chris PaulLAC2016.0,8,4
Adreian Payne,MIN,486,5.6,0.422,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.047,-5.9,-0.2,-6.1,-0.5,2016,Adreian PayneMIN2016.0,6,3
Cameron Payne,OKC,698,12.9,0.49,0.399,0.086,1.5,11.2,6.6,22.5,2.6,0.7,13.2,20.3,0.6,0.8,0.093,-0.4,-0.9,-1.3,0.1,2016,Cameron PayneOKC2016.0,9,2
Elfrid Payton,ORL,2145,13.9,0.478,0.126,0.26,3.9,9.6,6.7,32.8,2.1,0.8,17.9,20.4,0.5,1.7,0.05,-0.9,-0.5,-1.3,0.4,2016,Elfrid PaytonORL2016.0,9,1
Nikola Pekovic,MIN,156,6.5,0.459,0,0.4,5.3,10.3,7.8,10.7,0.3,0,13.3,19.5,-0.1,0,-0.022,-4.7,-3.5,-8.2,-0.2,2016,Nikola PekovicMIN2016.0,6,3
Kendrick Perkins,NOP,542,6,0.529,0,0.333,4.9,21.8,13.1,7.9,1,1.7,32.3,10.4,-0.4,0.4,-0.007,-5.6,1.3,-4.3,-0.3,2016,Kendrick PerkinsNOP2016.0,7,4
Paul Pierce,LAC,1231,8.2,0.489,0.61,0.166,1.1,15.2,8.2,8.5,1.3,1.1,12,17.8,-0.6,1.4,0.033,-2.5,-0.3,-2.8,-0.3,2016,Paul PierceLAC2016.0,1,4
Mason Plumlee,POR,2084,17.2,0.564,0.008,0.648,10.4,22.2,16.3,16.2,1.6,3.2,18.8,17.1,3.4,2.7,0.14,-0.2,3,2.8,2.5,2016,Mason PlumleePOR2016.0,2,4
Miles Plumlee,MIL,870,17.4,0.606,0,0.253,12.5,18,15.2,2.9,1.2,4.9,13.4,15.5,1.4,0.8,0.124,-1.4,-0.4,-1.8,0,2016,Miles PlumleeMIL2016.0,3,3
Otto Porter,WAS,2276,14.5,0.564,0.372,0.176,4.7,14.7,9.6,7.9,2.2,1.1,8.3,16.2,3,2.7,0.119,0.8,1,1.8,2.2,2016,Otto PorterWAS2016.0,0,1
Bobby Portis,CHI,1102,13.8,0.469,0.119,0.151,12,20,16.1,7.5,1.1,1.5,10.4,20.7,0.3,1.3,0.066,-2.4,-0.9,-3.3,-0.4,2016,Bobby PortisCHI2016.0,5,2
Kristaps Porzingis,NYK,2047,17.7,0.518,0.274,0.271,7.1,20.7,14,7.8,1.3,5,10.9,24.6,1.5,2.9,0.102,-0.8,0.9,0.1,1.1,2016,Kristaps PorzingisNYK2016.0,2,2
Dwight Powell,DAL,992,16.8,0.557,0.054,0.48,9.3,20.9,15.1,7.2,1.8,2,10,18.4,1.8,1.3,0.151,-1.3,1,-0.3,0.4,2016,Dwight PowellDAL2016.0,5,4
Norman Powell,TOR,725,13.3,0.541,0.389,0.231,2.6,14.8,8.8,10.4,2.1,1.1,11.3,17.8,0.7,0.8,0.105,-0.3,-0.1,-0.4,0.3,2016,Norman PowellTOR2016.0,1,4
Phil Pressey,PHI,170,11.8,0.437,0.236,0.327,0,15.2,7.4,43.2,3.2,0.4,23.2,21.1,-0.2,0.2,-0.014,-4.2,-1.5,-5.7,-0.2,2016,Phil PresseyPHI2016.0,9,4
Ronnie Price,PHO,1211,9.6,0.517,0.649,0.136,2.2,6.8,4.4,17.9,3,0.9,17.9,13.7,0.4,1,0.056,-0.7,-0.1,-0.8,0.4,2016,Ronnie PricePHO2016.0,9,4
Pablo Prigioni,LAC,823,10.2,0.482,0.646,0.054,5.1,9.9,7.5,21.8,3.2,0.1,24.6,11,0.3,1.1,0.087,-1.1,1.5,0.4,0.5,2016,Pablo PrigioniLAC2016.0,9,4
Tayshaun Prince,MIN,1462,6.3,0.466,0.1,0.083,2.6,9,5.8,7,1.2,0.7,10.2,8.1,0.1,0.3,0.014,-2.9,-0.2,-3.1,-0.4,2016,Tayshaun PrinceMIN2016.0,6,3
Julius Randle,LAL,2286,13.9,0.482,0.043,0.323,7.8,32,19.5,11,1.2,1,13.5,21.2,-0.3,1.9,0.035,-3.7,0,-3.6,-0.9,2016,Julius RandleLAL2016.0,5,4
Zach Randolph,MEM,2016,18.3,0.519,0.029,0.238,9.7,20.7,15,12.9,1.1,0.6,9.5,24.6,2.8,1.5,0.103,0.3,-1.1,-0.8,0.6,2016,Zach RandolphMEM2016.0,5,2
J.J. Redick,LAC,2097,17.5,0.632,0.478,0.233,0.5,6.6,3.6,8.6,1,0.2,7.4,22.6,5.3,1.4,0.154,3.5,-2.7,0.8,1.5,2016,J.J. RedickLAC2016.0,4,4
Willie Reed,BRK,426,19.2,0.579,0,0.414,12.7,19.6,16.1,3.8,0.7,5.7,9.2,18.1,0.9,0.3,0.134,-1.2,-0.4,-1.6,0,2016,Willie ReedBRK2016.0,3,2
Josh Richardson,MIA,1107,11.4,0.569,0.423,0.232,2.2,8.5,5.5,9.7,1.7,1.7,10.5,13.8,1.3,1.2,0.109,0.2,0.4,0.6,0.7,2016,Josh RichardsonMIA2016.0,1,2
Austin Rivers,LAC,1464,11.1,0.523,0.359,0.225,1.7,7.9,4.8,10.6,1.6,0.5,9.7,19.4,0.6,1.3,0.063,-1.2,-1,-2.2,-0.1,2016,Austin RiversLAC2016.0,1,4
Andre Roberson,OKC,1553,10.2,0.566,0.376,0.197,5.9,11.4,8.8,4,1.7,2,10.5,9.1,1.8,1.6,0.105,0,1.3,1.4,1.3,2016,Andre RobersonOKC2016.0,0,2
Brian Roberts,CHO,333,13.9,0.552,0.235,0.322,1.3,8.3,4.8,18.7,1.1,0.2,10.9,19.9,0.5,0.3,0.108,-1.2,-2.6,-3.8,-0.2,2016,Brian RobertsCHO2016.0,1,4
Brian Roberts,POR,137,13.7,0.551,0.3,0.2,1.6,7.9,4.7,18.5,1.1,0.6,11.4,19.6,0.2,0.1,0.096,-0.8,-3.3,-4,-0.1,2016,Brian RobertsPOR2016.0,1,4
Glenn Robinson,IND,508,11.4,0.508,0.245,0.258,2.6,12,7.3,7.7,1.7,1.4,9.7,16.1,0.2,0.6,0.078,-3,0,-3,-0.1,2016,Glenn RobinsonIND2016.0,1,1
Thomas Robinson,BRK,917,14.5,0.453,0.003,0.375,16.4,27.8,22,7.7,2.1,3.2,16.9,19.8,-0.5,1.1,0.033,-3.8,0.9,-2.9,-0.2,2016,Thomas RobinsonBRK2016.0,7,2
Rajon Rondo,SAC,2537,16.9,0.506,0.217,0.192,3.3,15.2,9.3,48,2.7,0.3,24.7,18.8,2.3,2.3,0.087,0.8,0.2,1,1.9,2016,Rajon RondoSAC2016.0,9,1
Derrick Rose,CHI,2097,13.5,0.479,0.143,0.171,2.4,8.8,5.6,25.5,1.1,0.5,13.4,27.3,-0.8,1.2,0.009,-1.2,-2.1,-3.3,-0.7,2016,Derrick RoseCHI2016.0,9,2
Terrence Ross,TOR,1747,12.9,0.551,0.542,0.099,1.4,10.6,6.1,5.3,1.6,1.2,6.6,18.2,2.1,1.6,0.1,1.1,-1.2,-0.2,0.8,2016,Terrence RossTOR2016.0,1,4
Terry Rozier,BOS,311,5,0.326,0.255,0.094,8.1,13.5,10.8,16.5,0.9,0.3,14.7,17.7,-0.6,0.3,-0.047,-5.9,-0.8,-6.6,-0.4,2016,Terry RozierBOS2016.0,6,1
Ricky Rubio,MIN,2323,17.6,0.529,0.324,0.536,2,14.1,8.2,41.4,3.5,0.4,21,17.7,3.6,2.2,0.119,1.8,0.1,1.9,2.3,2016,Ricky RubioMIN2016.0,4,3
Damjan Rudez,MIN,277,5.5,0.572,0.806,0.129,2.1,6.2,4.2,5.8,0.5,0.3,16.6,12.7,0.1,0,0.009,-1.2,-3.5,-4.7,-0.2,2016,Damjan RudezMIN2016.0,1,3
Brandon Rush,GSW,1055,10.1,0.56,0.604,0.108,2.3,15.4,9.2,7,0.9,1.6,10.8,12.5,0.8,1.2,0.09,-1.2,-0.2,-1.3,0.2,2016,Brandon RushGSW2016.0,1,4
D'Angelo Russell,LAL,2259,13.2,0.507,0.387,0.199,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,-0.7,0.7,0.001,-0.2,-1.7,-1.8,0.1,2016,D'Angelo RussellLAL2016.0,9,4
Robert Sacre,LAL,320,10.4,0.474,0,0.507,10.4,13.9,12.1,6.9,0.6,2.5,11.6,14.3,0.2,0.1,0.04,-3.5,-0.8,-4.3,-0.2,2016,Robert SacreLAL2016.0,7,4
JaKarr Sampson,PHI,691,7.7,0.49,0.168,0.48,4.6,16.1,10.2,6.9,0.8,1.8,17.2,18.7,-0.6,0.3,-0.021,-5.8,-1.6,-7.3,-0.9,2016,JaKarr SampsonPHI2016.0,6,4
JaKarr Sampson,DEN,469,9.3,0.532,0.252,0.217,3.7,10.8,7.2,5.1,1.3,3,13.1,13.5,0.1,0.3,0.045,-2.8,0.2,-2.6,-0.1,2016,JaKarr SampsonDEN2016.0,1,1
Dennis Schroder,ATL,1621,15.5,0.51,0.306,0.233,1.7,11.8,6.9,36.1,2.1,0.4,17.5,28.8,-0.2,2.3,0.064,-0.5,-0.9,-1.4,0.3,2016,Dennis SchroderATL2016.0,9,1
Luis Scola,TOR,1636,13.6,0.523,0.269,0.14,6,19,12.6,6.8,1.5,1.4,9.7,19.5,1.4,1.9,0.098,-0.8,-0.4,-1.2,0.3,2016,Luis ScolaTOR2016.0,5,4
Mike Scott,ATL,1146,14,0.575,0.42,0.168,5.2,14.2,9.8,10.5,1.1,1.2,9.4,17.4,1.7,1.5,0.132,-0.2,-0.4,-0.6,0.4,2016,Mike ScottATL2016.0,1,1
Thabo Sefolosha,ATL,1758,12.4,0.578,0.333,0.266,3.3,17.1,10.4,8.8,2.4,1.7,14.1,12.3,1.3,3.2,0.122,-1.7,2.8,1.1,1.4,2016,Thabo SefoloshaATL2016.0,0,1
Kevin Seraphin,NYK,526,10.8,0.435,0.01,0.112,6.5,19.5,13.1,14.8,0.8,5.2,16.7,22.2,-0.8,0.7,-0.015,-5.9,1.5,-4.4,-0.3,2016,Kevin SeraphinNYK2016.0,7,2
Ramon Sessions,WAS,1667,15.9,0.565,0.188,0.478,1.6,12.2,6.8,22,1.3,0.2,13.8,21.8,2.5,1.3,0.109,-0.3,-1.5,-1.8,0.1,2016,Ramon SessionsWAS2016.0,4,1
Iman Shumpert,CLE,1316,8.4,0.475,0.479,0.167,2.8,14.6,8.7,9.8,2.1,1.2,14.8,13.2,-0.1,1.8,0.063,-2.1,1.9,-0.2,0.6,2016,Iman ShumpertCLE2016.0,0,4
Jonathon Simmons,SAS,813,11.9,0.586,0.194,0.38,2.3,10.8,6.7,10.4,1.5,0.5,15.8,18.9,0.7,1.3,0.119,-1.1,0.2,-1,0.2,2016,Jonathon SimmonsSAS2016.0,1,2
