Player,Tm,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Year,Player ID,Cluster,Team Cluster
Harrison Barnes,DAL,2803,16.3,0.541,0.173,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,0.078,-0.7,-1.2,-1.9,0.1,2017,Harrison BarnesDAL2017.0,1,4
Matt Barnes,SAC,1367,10.2,0.501,0.551,0.172,4.7,19.9,12.4,16.3,1.3,1.1,16.8,16.4,-0.1,1,0.034,-1.2,0.3,-1,0.4,2017,Matt BarnesSAC2017.0,1,4
Matt Barnes,GSW,410,10.7,0.569,0.578,0.256,4.3,19.1,12.2,13.7,1.4,1.7,19.3,13.1,0.3,0.6,0.115,-1,1.6,0.6,0.3,2017,Matt BarnesGSW2017.0,0,1
Will Barton,DEN,1705,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,0.093,1.3,-1,0.3,1,2017,Will BartonDEN2017.0,4,4
Brandon Bass,LAC,577,19.7,0.65,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,1.6,0.6,0.186,0.1,-0.8,-0.7,0.2,2017,Brandon BassLAC2017.0,5,4
Nicolas Batum,CHO,2617,15.8,0.529,0.415,0.291,1.9,18.4,10.1,27.7,1.6,1,15,22.3,1.7,2.8,0.084,0.7,0.6,1.2,2.1,2017,Nicolas BatumCHO2017.0,0,4
Aron Baynes,DET,1163,13.1,0.57,0,0.337,10,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,0.123,-2.9,1.1,-1.8,0.1,2017,Aron BaynesDET2017.0,3,2
Kent Bazemore,ATL,1963,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,0.052,-2,1.2,-0.8,0.6,2017,Kent BazemoreATL2017.0,0,4
Bradley Beal,WAS,2684,20.1,0.604,0.418,0.259,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,6.9,1.6,0.152,4.5,-2.3,2.2,2.8,2017,Bradley BealWAS2017.0,4,1
Malik Beasley,DEN,165,13.7,0.536,0.384,0.137,3.4,8,5.7,10.2,2.1,0,9.4,22,0.1,0.1,0.057,-0.5,-3.5,-3.9,-0.1,2017,Malik BeasleyDEN2017.0,1,4
Michael Beasley,MIL,935,17.8,0.584,0.106,0.259,5,18.9,12,9.9,1.5,2.5,12.7,25.3,0.8,1,0.092,-1.7,-1.1,-2.9,-0.2,2017,Michael BeasleyMIL2017.0,5,1
Marco Belinelli,CHO,1778,13.3,0.566,0.46,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2,1.2,0.087,0.1,-2,-1.9,0.1,2017,Marco BelinelliCHO2017.0,1,4
DeAndre' Bembry,ATL,371,8.8,0.481,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.038,-4.4,0.1,-4.3,-0.2,2017,DeAndre' BembryATL2017.0,6,4
Dragan Bender,PHO,574,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.029,-4,-0.3,-4.3,-0.3,2017,Dragan BenderPHO2017.0,6,2
Anthony Bennett,BRK,264,14.7,0.533,0.522,0.391,10.2,21,15.6,7.1,0.9,0.9,10,19.4,0.3,0.2,0.09,-0.8,-2.2,-3,-0.1,2017,Anthony BennettBRK2017.0,5,4
Davis Bertans,SAS,808,12.9,0.609,0.739,0.145,3.2,10.4,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,0.135,1.2,0.6,1.8,0.8,2017,Davis BertansSAS2017.0,0,1
Patrick Beverley,HOU,2058,13,0.546,0.53,0.175,5,15.8,10.4,18.8,2.3,1,14.6,14.1,2.9,2.4,0.123,0.8,1.5,2.3,2.3,2017,Patrick BeverleyHOU2017.0,0,4
Bismack Biyombo,ORL,1793,12.2,0.546,0,0.69,9.3,25.6,17.2,6,0.7,4.1,17.7,13.2,0.8,2.1,0.077,-4.2,2,-2.2,-0.1,2017,Bismack BiyomboORL2017.0,3,1
Nemanja Bjelica,MIN,1190,11,0.526,0.497,0.171,5.5,18.6,12,9.6,1.7,1.4,13.4,16.4,0.6,0.9,0.059,-0.7,-0.4,-1.1,0.3,2017,Nemanja BjelicaMIN2017.0,1,1
Tarik Black,LAL,1091,15,0.56,0.007,0.371,13.9,20.7,17.2,5.3,1.3,3.3,14.5,15.7,1.5,0.8,0.105,-1.8,0.2,-1.6,0.1,2017,Tarik BlackLAL2017.0,3,4
Eric Bledsoe,PHO,2176,20.5,0.563,0.3,0.443,2.5,13.8,8,31.1,2,1.2,15.3,28.1,4,1.4,0.118,3.7,-0.4,3.3,2.9,2017,Eric BledsoePHO2017.0,4,2
Bojan Bogdanovic,BRK,1482,13,0.572,0.453,0.273,1.7,12.3,7,10.1,0.8,0.2,12,22.5,1,0.6,0.052,-0.4,-2.6,-3,-0.4,2017,Bojan BogdanovicBRK2017.0,1,4
Bojan Bogdanovic,WAS,601,14.7,0.617,0.491,0.325,2.6,12.3,7.5,5.2,0.8,0.6,12.4,22.2,0.9,0.3,0.103,0.6,-3.1,-2.6,-0.1,2017,Bojan BogdanovicWAS2017.0,1,1
Andrew Bogut,DAL,582,9.4,0.46,0.012,0.136,10.7,34,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1,0.055,-5.6,5.3,-0.3,0.3,2017,Andrew BogutDAL2017.0,7,4
Devin Booker,PHO,2730,14.6,0.531,0.283,0.308,1.8,8.3,5,16.3,1.3,0.6,12.9,28.6,1.3,0.6,0.035,0.4,-2.7,-2.3,-0.2,2017,Devin BookerPHO2017.0,1,2
Trevor Booker,BRK,1754,15.7,0.554,0.132,0.186,8.7,25.5,17.2,12.9,2,1.2,16.6,18.7,1,2.2,0.086,-1.6,1.7,0.1,0.9,2017,Trevor BookerBRK2017.0,5,4
Avery Bradley,BOS,1835,14.4,0.548,0.357,0.12,4,16.2,10.1,11,1.8,0.5,9.7,21.9,1.1,2,0.081,-0.2,-0.4,-0.5,0.7,2017,Avery BradleyBOS2017.0,0,4
Corey Brewer,HOU,923,7.5,0.491,0.414,0.194,2.5,11,6.7,9,1.9,1.1,12.7,12.9,0,0.8,0.045,-3.1,0,-3.1,-0.3,2017,Corey BrewerHOU2017.0,6,4
Corey Brewer,LAL,358,13.3,0.49,0.198,0.198,3.2,13,7.9,15,3.3,1.8,12.6,18,0,0.3,0.047,-2.4,0.7,-1.7,0,2017,Corey BrewerLAL2017.0,9,4
Malcolm Brogdon,MIL,1982,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,0.1,0.6,-1.1,-0.5,0.8,2017,Malcolm BrogdonMIL2017.0,4,1
Aaron Brooks,IND,894,9.5,0.507,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.016,-2.1,-2.5,-4.6,-0.6,2017,Aaron BrooksIND2017.0,9,2
Anthony Brown,NOP,143,5.9,0.415,0.585,0,4.4,14.8,9.6,5.9,1.7,0.6,10.9,14.2,-0.2,0.2,-0.007,-4.3,0,-4.3,-0.1,2017,Anthony BrownNOP2017.0,6,4
